x_A,y_A,z_A,site_energy_eV
43.78401992,23.97572893,51.7290295,-3.2576939
12.10343867,46.89455045,48.27323884,-3.22561893
20.56588729,8.67709604,17.33139639,-3.22988537
40.79355761,0.21073154,22.97363276,-3.26557447
2.23848003,13.89855042,34.803503,-3.23350371
0.88368661,24.11656158,21.85853125,-3.22856207
7.66013924,5.38882056,41.64308237,-3.27312375
35.15918529,7.61354518,14.2089716,-3.22850047
19.66876476,35.95154789,31.11361858,-3.36149883
5.02693361,32.75854743,9.82858074,-3.28333695
0.42675665,29.4886006,44.27247525,-3.26684748
25.4983095,4.51704442,10.91742967,-3.25934342
48.42121176,31.68401003,18.38638011,-3.28545424
50.73484195,39.09094396,29.12637186,-3.30071884
15.40652927,20.50206794,17.58096256,-3.25458679
15.07636049,28.43594429,18.75126074,-3.28687063
49.8322475,11.96929599,31.50011215,-3.2501003
43.71536556,10.75517577,25.32234679,-3.22042043
8.60116165,37.01869263,5.63933364,-3.23801732
18.79929621,31.51025598,35.0606682,-3.20045153
28.33539372,19.11639103,15.46572049,-3.25135485
50.14434339,31.85541169,34.74587529,-3.26641125
36.1366792,17.99435156,32.69658721,-3.35015727
13.24626196,3.24504019,18.00200579,-3.27937729
49.37585701,34.36692712,39.21904614,-3.35778427
17.45384806,20.30815378,34.80405874,-3.24380041
10.74473155,31.83674417,20.86157306,-3.21635352
20.69782076,27.28540652,35.1353913,-3.20589995
18.10025734,32.90768839,9.77258844,-3.2658504
11.71252431,15.31576951,12.05099744,-3.15193528
41.32716596,41.51599785,5.74797422,-3.2297965
47.33698716,10.66339609,44.89034603,-3.26295047
15.59890562,13.95399464,7.70394602,-3.23210896
41.60110764,5.5587423,27.96573655,-3.22846276
48.34345849,25.19479731,7.72359206,-3.21199504
9.79574438,11.44447823,19.92279568,-3.30121335
34.01116818,41.71216546,27.23709177,-3.22518874
17.4302939,38.46064221,15.25270688,-3.2440307
15.36037299,5.78936799,2.05150929,-3.24512797
10.72330966,13.93290476,2.10596563,-3.2280984
50.58245463,15.34046934,51.47277396,-3.22406304
10.72340026,31.72883613,34.03562251,-3.24334886
4.06447573,0.95395987,31.33749781,-3.28835837
7.68671372,25.2045936,23.4741518,-3.22636555
2.08545076,35.08402567,7.37508274,-3.24066403
4.27837189,31.88717645,37.11484841,-3.19732603
21.37644749,32.79846168,16.56453042,-3.25870589
